subject_id,slice_idx,type,n_features,mse,rmse,variance_explained,n_components,tumor_percentage
BraTS20_Training_133,95,original,4,2.731405347435421e-32,1.6526963869493454e-16,1.0000000000000002,4,
BraTS20_Training_134,100,original,4,2.711638944279563e-32,1.6467054819485977e-16,1.0000000000000002,4,
BraTS20_Training_135,90,original,4,1.0869280487377015e-32,1.0425584150241662e-16,0.9999999999999999,4,
BraTS20_Training_136,101,original,4,2.054383053478709e-32,1.433311917720183e-16,1.0,4,
BraTS20_Training_137,65,original,4,7.893460246580591e-33,8.884514756913058e-17,0.9999999999999999,4,
BraTS20_Training_138,86,original,4,2.1012583878881514e-32,1.4495717946649456e-16,1.0,4,
BraTS20_Training_139,89,original,4,4.996967457243666e-32,2.2353897774758805e-16,1.0,4,
BraTS20_Training_140,111,original,4,4.2921961740124254e-32,2.0717616112893938e-16,0.9999999999999999,4,
BraTS20_Training_141,104,original,4,5.974143169335707e-33,7.729258159316265e-17,0.9999999999999999,4,
BraTS20_Training_142,107,original,4,3.0180390222307795e-32,1.7372504201268105e-16,1.0000000000000002,4,
BraTS20_Training_143,78,original,4,5.233990836473713e-33,7.234632565979915e-17,0.9999999999999999,4,
BraTS20_Training_144,91,original,4,2.1395556459293682e-32,1.4627219988532914e-16,1.0,4,
BraTS20_Training_145,59,original,4,7.00243787952355e-32,2.646211986883052e-16,1.0,4,
BraTS20_Training_146,67,original,4,1.6675543468373444e-32,1.2913382000224977e-16,0.9999999999999999,4,
BraTS20_Training_147,74,original,4,1.558656269650339e-32,1.2484615611424882e-16,1.0,4,
BraTS20_Training_148,60,original,4,1.5253219896199873e-32,1.2350392664283946e-16,0.9999999999999999,4,
BraTS20_Training_149,65,original,4,3.915635665297568e-32,1.9787965194272927e-16,1.0,4,
BraTS20_Training_150,75,original,4,4.6481123860641634e-32,2.155948140856863e-16,0.9999999999999999,4,
BraTS20_Training_151,87,original,4,2.310399787494384e-32,1.5199999300968353e-16,1.0,4,
BraTS20_Training_152,95,original,4,2.2981641379793884e-32,1.5159697021970421e-16,1.0000000000000002,4,
BraTS20_Training_153,63,original,4,3.2275427067265813e-32,1.7965363082127178e-16,1.0000000000000002,4,
BraTS20_Training_154,106,original,4,1.8031596634708456e-32,1.342817807251172e-16,0.9999999999999999,4,
BraTS20_Training_155,63,original,4,4.5385290306497486e-32,2.1303823672406202e-16,0.9999999999999999,4,
BraTS20_Training_156,69,original,4,1.0951853225599692e-32,1.0465110236208548e-16,1.0,4,
BraTS20_Training_157,97,original,4,4.553526956054274e-32,2.133899471871689e-16,1.0,4,
